x,y
53.0,71.0
53.0,72.0
53.0,73.0
54.0,70.0
54.0,71.0
54.0,72.0
54.0,73.0
55.0,71.0
55.0,72.0
101.0,853.0
101.0,854.0
101.0,855.0
102.0,853.0
102.0,854.0
102.0,855.0
103.0,852.0
103.0,853.0
103.0,854.0
103.0,855.0
127.0,570.0
127.0,571.0
127.0,572.0
128.0,570.0
128.0,571.0
128.0,572.0
128.0,573.0
129.0,570.0
129.0,571.0
129.0,572.0
129.0,573.0
130.0,570.0
130.0,571.0
130.0,572.0
131.0,571.0
131.0,572.0
135.0,546.0
136.0,544.0
136.0,545.0
136.0,546.0
136.0,547.0
137.0,543.0
137.0,544.0
137.0,545.0
137.0,546.0
137.0,547.0
138.0,544.0
138.0,545.0
143.0,445.0
143.0,446.0
144.0,444.0
144.0,445.0
144.0,446.0
144.0,447.0
145.0,444.0
145.0,445.0
145.0,446.0
150.0,700.0
150.0,701.0
151.0,699.0
151.0,700.0
151.0,701.0
152.0,698.0
152.0,699.0
152.0,700.0
152.0,701.0
153.0,699.0
153.0,700.0
176.0,121.0
176.0,122.0
177.0,120.0
177.0,121.0
177.0,122.0
178.0,120.0
178.0,121.0
178.0,122.0
178.0,123.0
179.0,121.0
229.0,102.0
229.0,103.0
229.0,919.0
229.0,920.0
229.0,921.0
230.0,102.0
230.0,103.0
230.0,104.0
230.0,919.0
230.0,920.0
230.0,921.0
230.0,922.0
231.0,102.0
231.0,103.0
231.0,104.0
231.0,920.0
231.0,921.0
232.0,103.0
235.0,345.0
236.0,344.0
236.0,345.0
236.0,346.0
237.0,344.0
237.0,345.0
237.0,346.0
238.0,345.0
251.0,782.0
251.0,783.0
252.0,781.0
252.0,782.0
252.0,783.0
252.0,784.0
253.0,782.0
253.0,783.0
254.0,783.0
268.0,213.0
268.0,214.0
269.0,213.0
269.0,214.0
269.0,215.0
270.0,214.0
275.0,281.0
275.0,282.0
276.0,280.0
276.0,281.0
276.0,282.0
276.0,283.0
277.0,281.0
277.0,282.0
286.0,450.0
286.0,451.0
286.0,452.0
287.0,450.0
287.0,451.0
287.0,452.0
287.0,453.0
288.0,202.0
288.0,203.0
288.0,451.0
288.0,452.0
288.0,453.0
289.0,202.0
289.0,203.0
289.0,204.0
290.0,202.0
290.0,203.0
302.0,649.0
302.0,650.0
303.0,649.0
303.0,650.0
303.0,651.0
304.0,649.0
304.0,650.0
307.0,226.0
307.0,227.0
308.0,225.0
308.0,226.0
308.0,227.0
308.0,228.0
309.0,226.0
309.0,227.0
318.0,920.0
326.0,943.0
346.0,787.0
347.0,786.0
347.0,787.0
347.0,788.0
348.0,786.0
348.0,787.0
348.0,788.0
349.0,787.0
384.0,346.0
384.0,347.0
384.0,348.0
385.0,346.0
385.0,347.0
385.0,348.0
386.0,346.0
386.0,347.0
386.0,348.0
399.0,532.0
399.0,533.0
400.0,531.0
400.0,532.0
400.0,533.0
401.0,532.0
401.0,533.0
507.0,386.0
507.0,387.0
508.0,386.0
508.0,387.0
508.0,388.0
509.0,386.0
509.0,387.0
509.0,388.0
513.0,462.0
513.0,463.0
514.0,461.0
514.0,462.0
514.0,463.0
514.0,464.0
515.0,461.0
515.0,462.0
515.0,463.0
526.0,550.0
526.0,551.0
527.0,550.0
